Hanan Runasimi,English,Ima simi,Español,Qusqu,Qosqo,Aymara
wiñay hunt'asqa,adult,adj.,adulto,wiñay hunt'asqa,wiñay hunt'asqa,
wiñay kachamuy,to return,v.tr.,retornar,,,
wiñay kachkaq,eternal,adj.,eterno,wiñay kashaq,wiñay kashaq,
wiñay kaq,everlasting; eternal,adj.,eterno,wiñay kaq,wiñay kaq,
wiñay kawsay,history,s.,historia,,,
wiñay kawsay,eternal life,s.(cri),vida eterna,wiñay kawsay,wiñay kawsay,
wiñay kawsay imakuna,historic deeds,s.,hechos históricos,,,
wiñay kawsaymanta yachay,social sciences,s.(neo),ciencias sociales,,,
wiñay kawsay qallariy,prehistory; beginning of history,s.,prehistoria; inicio de la historia,,,
wiñay kawsay qallariypi rurayta kamay,archaeology,s.(neo),arqueología,,,
wiñay kay,eternity,s.,eternidad,,,
wiñaymanta,since eternity,adv.t.,desde siempre,,,
wiñay masi,contemporary; person of same age,s.,contemporáneo; de la misma edad,wiñay masi,wiñay masi,
wiñaynintin,contemporary (peers),adj.,contemporáneo; actual,wiñaynintin,wiñaynintin,
wiñaypaq,forever,adv.t.,eterno; para siempre; para siempre; eternamente,wiñaypaq,wiñaypaq,
wiñaypaq wiñaynin,endless; infinite,adj.,infinito (sin fin),,,wiñaya
wiñaypaq wiñayninkama,forever; from century to century,adv.t.,por siempre; siglo por siglo,,,
wiñaypura,contemporary (peers),adj.,contemporáneo; actual,wiñaypura,wiñaypura,
wiñay tratu,everlasting covenant,s.,pacto eterno,,,
wiñaywayna,forever young,s.,perpetuamente joven; siempre jove,wiñaywayna,wiñaywayna,
wiñaywayna,kind of orchid,s.(bot),variedad de orquídea,wiñay wayna,wiñay wayna,
wiñi,thrush; dappled bird,s.(zoo),tordo; zorzal gris,,,
wipachi,plummet used by the bricklayer,s.,plomada que usa el albañil; plomada,,,uypaychu
wipachiniy,level,s.,nivel,,,
wipaq,waste; rubbish; trash,s.,desechos; cintura; basura,wipaq,wipaq,
wipar sikwi,vertical line,s.,línea vertical,,,
wipiq huchha,exponent,s.(mat),exponente,,,
wipiq huchhaqpa,exponential,adj.poses.,exponencial,,,
wipiy,to hang up; to suspend,v.tr.,suspender (elevar o colgar),,,
wiptiy,to be cut through,v.intr.,trozarse,,,
wiptiy,to cut,v.tr.,cortar,,,
wipu,kind of fish,s.(zoo),una variedad de pez,,,
wipyay,to beat; to box; to hit,v.tr.,pegar con palo; pegar; golpear con palo,,,
wiphala,flag; inca flag; banner,s.,bandera; bandera del imperio inca; bandera del tawantinsuyu,wiphala,wiphala,wiphala
wiqa,crazy; mad,adj.,loco,wiqa,weqa,
wiqaw,waist; size,s.(ana),cintura; talle,wiqaw,weqaw,
wiqaw wasa tullu,lumbar,s.(ana),lumbar,wiqaw wasa tullu,weqaw wasa tullu,
wiqaw wasa tullukuna,lumbars,s.(ana),lumbares,wiqaw wasa tullukuna,weqaw wasa tullukuna,
wiqi,tear; cry,s.,lágrima; llanto; rugido,wiqi; waqi,weqe; waqe,
wiqi,resin,s.(bot.ana),resina; savia,,,
wiqichay,to make weep,v.tr.,hacer lagrimear,,,
wiqihunt'a,full of tears,s.,lleno de lágrimas; lloroso,,,
wiqi muyu,kind of fruit,s.(bot),fruta pegajo,,,
wiqi pacha,vale of tears,s.,valle de lágrimas,wiqipacha,weqepacha,
wiqisapa,tearful; dissolved in tears,s.p.,lagrimoso,,,
wiqiy,misfortune; calamity,s.,desventura; adversidad,,,llaki; chiji
wiqlla,"weqlla (plant with lanceolate leaves growing on the rocks, its leaves are cattle food, its flowers (machitu) are used as adornment for the chapels and processions during the Easter Week - The water in the base of its leaves remains for a long time)",s.(bot),"hueclla (planta de hojas lanceoladas que crece sobre las rocas, sus hojas sirven de alimento a los ganados, sus flores (MACHITU) de adornos para las capillas y procesiones en Semana Santa - En la base de las hojas mantiene el agua por mucho tiempo)",,,
wiqru,lame; crooked; twisted,adj.,cojo; chueco; deforme (mano); deforme; torcido; curvo; zambo; combado,wiqru,weqru,
wiqru,parrot,s.(zoo),loro,wiqru,weqro,
wiqru chanka,crooked leg,s.,pierna torcida,,,
wiqruchay,to twist; to bend; to bow; to slant,v.tr.,torcer; encorvar; combar,,,
wiqruku,deviation,s.,desviación,,,
wiqruy,to limp,v.mov.,cojear; torcer los pies,wiqruy,weqruy,
wiqruyay,to twist; to bend; to bow; to slant,v.intr.,torcerse; encorvarse; combarse,,,
wiqruynin,curvature; inclination,s.(mat),curvatura; inclinación,,,
wiqti,blurry eyes,s.(med),legaña,,,
wiqu,crooked; incorrect; wrong,adj.,encorvado; incorrecto; torcido,wiqu,weqo,
wiqu,span; long measure from the thumb to the little finger,s.(uni),jeme,,,
wiquntuy,kind of epiphytic shrub used against rheuma,s.(bot),especie de arbusto epifítico usado como medicina contra la reuma,wiquntuy,wiqontoy,
wiquriy,flexibility,s.,flexibilidad,,,
wiqu t'asratu,trapezoid,s.(mat),trapezoide,,,
wiquy,acostarse de lado,v.mov.,to lie on the side,,,
wiqwiy,to wriggle; to zigzag,v.mov.,culebrear; serpentear; zigzaguear,,,
wiq'a,contents of the rumen and the intestine,s.,contenido de la pansa de los intestinos de los animales; quimo,,,
wiq'achiy,to make clean the contents of the rumen and the intestine,v.tr.,hacer limpiar el contenido de la panza y de los intestinos,,,
wiq'ay,to clean the contents of the rumen and the intestine,v.tr.,limpiar el contenido de la panza y de los intestinos; lavar tripa; sacar el quimo,,,
wiq'iy,to water (eyes),v.intr.,lagrimear; derramar iágrimas; ilorar,,,
wiq'uy,to vomit; to puke; to knit,v.intr.,vomitar; beber a grandes sorbos,wiq'uy,weq'oy,
wira,thick; fat; fat (for animals and objects and people),adj.(1),gordo; grueso; obeso; corpulento,wira,wira,
wira,dirty,adj.(2),sucio,,,
wira,fat; butter; lard; oil; suet; grease; tallow; wax; fat (grease),s.,grasa; sebo; manteca; aceite; cebo; grasa injundia,wira,wira,lik'i
wirachay,to smear; to grease,v.tr.,ensebar; engrasar,wirachay,wirachay,lik'ichaña
wira malkachu,type of potato,s.(bot),especie de papa,,,
wirapi yanuy,to fry,v.tr.,freír,,,
wiraqucha,non-indian; white man; gentleman; white person,s.,persona de la sociedad no indígena; blanco; caballero; señor; hombre blanco; español; don,wiraqucha,wiraqocha,
Wiraqucha,"deity of the andes; invisible superior god; one of the titles of the supreme mystical nameless Creator-God; great white god of the Incas; lord; god; creator; title of respect; the Q'ero use this term to refer to one another meaning something like ""good sir""",s.(mit),deidad andina; dios superior invisible; dios divino; hacedor supremo de los Incas; dios supremo,Wiraqucha,Wiraqocha,
Wiraqucha Inka,the eighth Inka ruler,s.(per),el ocho emperador Inka,Wiraqucha Inka,Wiraqocha Inka,
Wiraquchapampa,"place close to the community of Q'ero where, according to the myths of Q'ero, a Spanish army was destroyed by some paqos from Q'ero, the last survivors of the Inkas and ancestors of the present Q'ero community",s.(top),"lugar cerca de la comunidad de Q'ero donde, según los mitos de Q'ero, fue derrotada una armada española por unos paqos de Q'ero, los últimos supervivientes de los Inkas y antepasados de la comunidad presente de Q'ero",Wiraquchapampa,Wiraqochapampa,
wiraquchawan runawan,mestizo,s.,mestizo,,,
wira q'umpu,lipome,s.(med),lipoma,wira q'unpu; wira q'umpu,wira q'onpo; wira q'ompo,
wiraq'uwa,fat and certain herbs burnt to ban bad ghosts,s.,grasa y ciertas hierbas que se queman para conjura ciertos males,,,
wirasapa,fatty,adj.,grasiento; grasiento (comida); grasoso,,,
wirasapa,fat,s.p.,gordo; corpulento; obeso; rechoncho; regordete,wirasapa,wirasapa,
wirataka,grimy; greasy; dirty,adj.,mugriento,,,
wira unquy,lipoma,s.(med),lipoma,wira unquy,wira onqoy,
wirawan llutay,to grease; to oil,v.tr.,engrasar,,,
wira-wira,kind of composite plant; a food shrub for guinea pigs,s.(bot)(1),planta de la familia de las compuestas; se usa como mate para la tos; un arbusto para los cuyes; huira-huira,wira-wira,wira-wira,
wira-wira,kind of composite plant used against cough; kind of medicinal herb,s.(bot)(2),vira-vira; huira-huira; una planta de la familia de las compuestas que se usa como mate para la tos; una variedad de hierba medicinal,,,
wirayachiy,to make fat; to make thick,v.tr.,hacer engordar; engordar; cebar,wirayachiy,wirayachiy,
wirayakuy,to fatten; to become fat,v.intr.,engordarse,,,
wirayasqa,fattened,p.p.p.,cebado; engordado,,,
wirayay,to become fat; to become thick; to get fat,v.intr.,engordar; engordarse; engrosar,wirayay,wirayay,lik'intaña; lik'iptaña; lik'thapiña
wirbina,verbena; kind of plant of the jungle (main use: medicinal),s.(bot)(esp),verbena; especie de planta de la selva (uso principal: medicina),,,
wiri,"Andean footplow; foot plow (earlier version, similar to the chakitaklla except that its blade is made of wood instead of metal)",s.(agr)(aym)(1),tirapié andino,wiri,wiri,wiri
wiri,man using the foot plow; pair of plow team members (the number of pairs limited by the number of foot plows present),s.(agr)(aym)(2),hombre que usa un tirapié,wiri,wiri,wiri
wiriqinqi,kind of big bird,s.,hueroqueque (especie de ave grande),,,
wiririma,kind of palm tree,s.(bot),especie de palmera,,,
wiririma,kind of sea shell,s.(zoo),especie de concha,,,
wirkhi,container of clay with a wide opening; type of container; container,s.,vasija de barro de boca ancha; cántaro de gran tamaño de boca muy ancha; jarra,wirkhi; wirk'i,wirkhi; wirk'i,yak'ina; wirkhi
wirkhi siki,large bottom,s.,trasero grande,,,
wirk'itu,"pallay motif in weaving (Bolivia, meaning unclear)",s.(tex),motivo pallay en tejidos (significado no claro),,,
wirp'a,lower lip; lips; lip,s.(ana),labio inferior; labios; labio; (BOL:) labio superior (?); labio superior; jeta; labio,wirp'a; wirpha,wirp'a; werp'a; wirpha,ispillu; laka
wirp'asapa,large-lipped,adj.,besudo de labios gruesos,,,
wirriy,viceroy (in colonial times),s.(his)(esp),virrey (en el tiempo colonial),wirriy,wirrey,
wirriypa pachakan,viceroy's majordomo (in colonial times),s.(his)(p.esp),mayordomo mayor del Virrey,wirriypa pachakan,wirreypa pachakan,
wirsu,song,s.(mus)(esp),canción,,,
wirsuy,to sing,v.tr.(mus)(esp),cantar,,,
wirta,garden; small field,s.(agr)(esp),huerta; chacra pequeña; huerta; chacra; jardín,,,
wirtura,vegetable,s.(esp),verdura,,,ch'iwa
wiru,"reed; cane (corn, sugar); green corn stalk that is eaten; stick",s.,caña; tallo de maíz; caña verde de maíz de jugo dulce; caña de mais; palo; caña de maíz,wiru,wiru,
wiru,sugar cane,s.(bot),caña de azúcar; caña azúcar,,,
wiru,cylinder,s.(mat),cilindro,,,
wiru chakra,reed; reedy area,s.,cañaveral,,,
wiru hanch'uy,to suck juice out of corn stems,v.intr.,chupar jugo de tallos de maíz,,,
wiruka,partridge,s.(zoo),perdiz,,,
wirukruy,to crook; to bend; to curve,v.tr.,arquear,,,
wiru millma,"twisted, long wool",s.(tex),lana torcida y larga,wiru millma,wiru millma,
wiruti,small dart used with the blowpipe for hunting,s.,pequeño dardo empleado con la pucuna para cazar; dardo empleado con la pucuna; lo que usa el brujo para hacer daño,,,
wiruti sankudu,anopheles (carrier of malaria),s.(zoo)(p.esp),virote zancudo; anofeles (transmisor de la malaria),,,
wiruy,to suck sugar cane,v.intr.,chupar caña; chupar la caña de maíz,,,
wiruy,to beat (with a stick); to drum,v.tr.,golpear (con un palo); tocar el tambor,,,
wisa,twin,s.(fam),mellizo,,,
wisa,Inka warrior; military; militiaman,s.(mil),guerrero incáico; militar; miliciano,wisa,wisa,
wisapaq,soldier,s.(mil),soldado,,,
wisaqay,to pour chicha into another container,v.intr.,trasvasar la chicha,,,
wisara,scar,s.,cicatriz,,,
wisi,spoon,s.,cuchara,,,
wisimuy,to go to draw liquid,v.tr.,ir a sacar agua,,,
wisina,container,s.,envase; recipiente con que se extrae agua u otro líquido; recipiente,wisina,wisina,
wisipuy,pouring of liquid into another container,s.,transfusión,,,
wisipuy,to pour into another container; to decant,v.tr.,trasvasar líquido de un recipiente a otro; trasegar,,,
wisiqay,to draw a part of a liquid,v.tr.,extraer parte de un líquido,,,
wisisi,petroleum,s.,petróleo,,,
wisiy,to draw liquid from a container; to take water and but it into a bigger container; to take water out of its container,v.tr.,sacar líquido de un recipiente; coger líquidos o granos; tomar un líqudo con un vaso para ponerlo en algo más grande; extraer agua u otro liquido de su depósito; extraer o sacar con un recipiente agua u otro líquido de su depósito,wisiy,wisiy,
wiskaku,viscacha,s.(zoo),vizcacha,,,
wisku,one-eyed,adj.,con un solo ojo; tuerto; chueco; trocido,,,
wisku,sandal,s.(aym),abarca,,,wiskhu
wiskul,vulture,s.(zoo),buitre; gallinazo,,,
wisk'acha,viscacha; wild rabbit-like animal; andean rodent,s.(zoo),vizcacha; viscacha; mamífero roedor que vive en las montañas andinas,wisk'acha,wisk'acha,
wislla,ladle; spoon,s.,cuchara; cucharón; cucharón de madera,wislla,wislla,wislla
wisllay,to use a ladle,v.tr.,usar la cuchara,,,
wisniykuy,to spoil,v.tr.,desparramar,wisniykuy,wisniykuy,
wisnu,matter; mass,s.,materia; masa,,,
wispa,with one's mouth twisted,adj.,boquitorcido,,,
wispa,twin,s.(fam),gemelo; mellizo; gemelos,wispa,wispa,
wispalla,twin woman,s.(fam),mujer melliza; gemela,,,ispalla
wispanin,each twin,expr.,cada mellizo,,,
wispillu,kind of stalking bird,s.(zoo),una variedad de ave zancuda,,,
wisp'alla,twin,s.(fam),mellizo; gemelo,,,ispa; ispalla
wisqa,sneeze,s.,estornudo,,,
wisqa hacha,"catarrhal plant (smal plant that emits a strong smell when picked causing sneeze and feeling of cold, possibly as defense. It grows in the heights of Pachma (Yuramarca))",s.(bot),"planta de catarro (planta pequeña que cuando se la coge exhala un olor fuerte que produce estornudos y catarro, posiblemente es su defensa. Esta planta crece en las altura de Pachma (Yuramarca))",,,
wisqay,to sneeze,v.intr.,estornudar,,,
wisquchu,witches; phantastic night beings (said to be seen at night in form of human heads whistling wis-wis),s.(mit)(his),brujas; seres nocturnos fantásticos (dicen que las topaban de noche en figuras de cabeza humana solamente silbando así no más: wis-wis),wisquchu,wisqocho,
wistuta allichiy,to straighten,v.tr.,enderezar,,,
wistuyay,to become twisted,v.intr.,ponerse torcido (ej. los ojos),,,
wist'u,twisted; crooked; lame,adj.,torcido; chueco; torcido; curvo; cojo; torcido del pie,wist'u,wist'u,
wist'u asnu,useless donkey!,s.(k),¡asno inútil!,wist'u asnu,wist'u asnu,
wist'u chaki,lame,adj.,cojo; patituerto,wist'u chaki,wist'u chaki,
wist'uchay,to twist,v.tr.,torcer,,,
wist'uku,deviation,s.,desviación,,,
wist'u ñawi,squinter; cross-eyed; short-sighted person,s.,bizco; bisojo; miope,,,
wist'u piku,wry mouth; lopsided mouth,s.,morro oblicuo,,,
wist'u wist'u,in zigzag,adv.m.,en zigzag,,,
wist'uy,to limp,v.mov.,cojear; renguear,wist'uy,wist'uy,wankuña
wist'uy,to twist,v.tr.,torcer,,,
wist'uykachay,to go a detour; to go a roundabout way,v.intr.,rodear,,,
wist'uykuy,to deviate; to take the wrong way,v.intr.,desviarse; ir el camino incorrecto,,,
wisu,lichen,s.(bot),liquen,,,
wisún,iguana species,s.(zoo),una variedad de iguana,,,
Wisu wiri,Plough (Andean constellation),s.(ast),constelación andina del Arado,,,Qanqiwiri
wiswi,lazy; greasy,adj.(k),seboso; grasiento; grasoso,wiswi,wiswi,
wiswi,dirt,s.,mugre; suciedad grasosa,,,
wiswichay,"to grease, to lubricate",v.tr.,engrasar; lubricar,,,
wis-wis,witches' whistling,s.onom.,silbo de las brujas,wis-wis,wis-wis,
wisya,cream,s.,crema,,,
wisyakuq,pipe,s.,pito,,,
wisyay,to whistle,v.dic.,silbar,,,
wisyay,to have diarrhoea,v.intr.,sufrir diarrea,,,
wita,ladle; spoon; dipper,s.,cucharón,,,
wita,kind of small fish,s.(zoo),bagrecito de río; especie de pez pequeño; mújol,wita,wita,
witalta,kind of water bird,s.(zoo),ave acuática de los bañados,,,
witamina,vitamin,s.(esp),vitamina,,,witamina
witi,error,s.,yerro,,,
witi,wild goose,s.(zoo),ganso salvaje,,,
witiq-witiq,staggering; wobbly,adj.,tambaleando,,,
witiy,to move,v.mov.,moverse,,,
witkhu,aqueduct,s.,acueducto,,,larq'a
witu,lace; point,s.,punta,,,witu
wituq,"kind of fruit tree whose fruit is called hawa; kind of tree of the jungle with very hard wood, its eatable fruit is used against cough, the green fruit is used for protection against mosquitos and to dye black; huituc; kind of plant of the jungle (main use: medicinal, ritual)",s.(bot)(1),"huito; huituc; variedad de árbol frutal cuyos frutos son llamados jagua, el fruto verde sirve para proteger la piel contra los mosquitos y para teñir de negro; especie de árbol de la selva (uso principal: medicina, ritual); árbol de madera dura, su fruto comestible es medicinal (tos). La fruta verde, tostada entre hojas de platano y luego frotada sobre la piel, tiene la virtud de poner a ésta completamente negra. Sirve a los indios para sus pinturas y tatuajes. Mientras perdura la pintura, mas de ocho dias, no molestan tanto los mosquitos, al desaparecer, queda el cutis mas limpio, blanco y libre de barros y erupciones. Es frecuente ver a los indígenas completamente negros por haber pasado por todo su cuerpo tan curioso afeite",wituq,witoq,
wituq,kind of fig,s.(bot)(2),variedad de higuera; ojé,wituq,witoq,
wit'u,curtailed tail,s.,rabo mocho; amputación; corte,wit'u,wit'u,
wit'u-wit'u,tailbone,s.(ana),coxis,,,
wit'uy,to amputate; to clip; to cut off,v.tr.,amputar; mutilar; tronchar; cortar tallos gruesos; recortar; seccionar,wit'uy,wit'uy,
wiyaqay,to scald,v.tr.,escaldar,,,
wiyis,ox,s.(zoo)(esp),buey,,,
wiywina,invariable,adj.,invariable,,,
Wuliwya,Bolivia,s.(esp),Bolivia,,,Wuliwya
wuliwyanu,Boliviano (national currency of Bolivia),s.(esp),boliviano (moneda nacional de Bolivia),,,wuliwyanu
wurru,simpleton,s.(esp),imbécil (< burro),,,
wutilla,bottle,s.(esp),botella,,,wutilla; qhispi yuru
y,really; truly; that's it,adv.afirm.,de afirmación; es así; verdad; ciertamente,,,
y,(semiconsonant phoneme of the quechua language),fon.,"(fonema semiconsonante palatal, sonoro); (semi consonante palatal); (semiconsonante palatal sonora); /y/ glide o semiconsonante palatal",y,y,
ya,okay!; i agree!,expr.,¡ya!; de acuerdo; asi; ya está,ya,ya,
yacha,notion; idea; news; message,s.,noción; noticia; sabiduría,yacha,yacha,
yachachikuq,learner; pupil; student,s.a.,el que se hace enseñar; alumno; estudiante; el que aprenden,yachachikuq,yachachikuq,
yachachikuy,education; schooling; instruction; formation,s.,enseñanza,,,
yachachikuy,to train; to instruct; to qualify,v.tr.,instruir; cualificar,yachiy,yachiy,
yachachinakuy,to agree; to concur,v.recip.,estar de acuerdo,yachachinakuy,yachachinakuy,
yachachina k'illa,lecture-hall,s.,aula,,,
yachachiq,teacher,s.a.,maestro; profesor; educador; maestra; el que enseña; profesor; preceptor; el que enseña; profesor; el que ensegñ; instructor; profesora; pedagogo-ga,yachachiq,yachachiq; yachacheq,yatichiri
yachachiq kay,teachership; mastership,s.,magisterio,,,
yachachiq masi,pal; buddy; comrade,s.,compañero,,,
yachachisqa,apprentice; student,p.p.p.,aprendiz; instruido,yachachisqa,yachachisqa,
yachachiy,principle; teaching; guidance; education,s.,principio; enseñanza; instrucción; doctrina; educación; instrucción,yachachiy,yachachiy,yatichawi
yachachiy,to teach,v.tr.,enseñar; capacitar; educar; hacer saber; anunciar; instruir; demostrar; acostumbrar; diciplinar; enterar; explicar; manifestar,yachachiy,yachachiy,isapaña
yachachiy allwiya,didactics,s.,didáctica,,,
yachachiy illa,didactic unity,s.(sch),unidad didáctica,,,yatiqawi t'aqa
yachachiykama,teachership; mastership,s.,magisterio,,,
yachachiykamay,didactics,s.,didáctica,,,yati sarta; yatichawi thakhi
Yachachiykunawan Tratukunawan,Doctrine and Covenants,s.,doctrina y promesas,,,
yachachiy phani,timetable,s.,horario escolar,,,yatiñuta uru t'aqa
yachachiy qatikipay,didactic sequence,s.(sch),secuencia didáctica,,,yatichawi arktawi
yachachiy wakichiy,educational project,s.,proyecto educativo,,,yaticha wakichawi
yachakachiy,to educate,v.tr.,educar,,,yatichaña
yachakamay,discipline,s.,disciplina,,,yatiqama
yachakapuy,to be accustomed,v.intr.,acostumbrarse,,,
yachakay,to be accustomed,v.intr.,acostumbrarse,,,
yachakipa,studies,s.,estudio,,,
yachakipakuy,to exercise,v.intr.,ejercitarse,,,yant'aña
yachakipay,training,s.,capacitación,,,yatintawi
yachakipay,tradition,s.(ass),tradición,,,marica sarawi; pacha sarawi; lurakipawi
yachakipay,to study,v.tr.,estudiar; investigar,,,yatxataña
yachakipay,to train,v.tr.(ass),capacitar,,,yatintayaña
yachakuchiku,execution; architecture,s.,ejecución; arquitectura,,,
yachakuchikuq,executable,adj.,ejecutable,,,
yachakuchiy,to execute,v.tr.,ejecutar,,,
yachakuna,lesson,s.,lección,,,
yachakupuq,useful,adj.,útil,,,
yachakuq,pupil; student,s.a.,alumno; alumna; el que aprende; aprendiz; estudiante; discípulo; principiante,yachakuq,yachakuq,
yachakuy,to remain; to stay,v.cop.,quedarse a vivir,,,
yachakuy,to adapt,v.intr.,adaptarse; habituarse; acostumbrarse,yachakuy,yachakuy,yatisiña
yachakuy,to learn; to study; to accustom; to become accustomed to,v.tr.,acostumbrarse; aclimatarse; adaptarse; aprender; estar sabiendo; estudiar; habituarse; acostumbrarse,yachakuy,yachakuy,yatisiña; jichuntaña; awinisiña
yachana,lesson; class; school,s.(1),lección; curso; aprendido; escuela,yachana,yachana,yatita
yachana,dwelling; dwelling place; residence,s.(2),residencia; vivienda,,,
yachanaq,analphabet,s.(neo),analfabeto,,,
yachana wasi,school,s.,escuela; centro educativo (escuela); aula; curso,yachana wasi,yachana wasi,yatinuta
yachanaway,to learn,v.intr.,aprender,..yachay,..yachay,
yachapa,echo,s.,eco; remedo,yachapa,yachapa,
yachapakuq,apprentice; student,s.a.,aprendiz; estudiante; practicante,yachapakuq,yachapakuq,
yachapaqnin,apprentice; student,s.pr.,aprendiz,,,
yachapay,to imitate,v.tr.,imitar; copiar (imitar); remedar; repetir (imitar); hacer eco; imitar la voz de alguien,,,
yachapay,to practice; to exercise,v.tr.(ass),practicar,,,yant'aña; luraña
yachapayay,gesture,s.,gesto,,,winakaña
yachapayay,dramatization,s.(ass),dramatización,,,
yachapayay,practical knowledge,s.(fil),conocimiento práctico,,,yatita lurawi
yachapayay,to imitate,v.tr.,remedar; imitar; parodiar,yachapayay,yachapayay,yapayataña
yachaphukuy,to imitate,v.tr.,imitar,,,yatxapayaña
yachaq,wise man; healer; wise woman; witch; sorcerer; wizard; healer; shaman,s.a.,sabio; conocedor; curandero; brujo; bruja; hechicero; hechicera; entendido (sabio); chamán; shaman; el que sabe; el que conoce; el que aprende; instructor; perito; sabedor; alumno; aprendiz; científico; práctico,yachaq,yachaq,yatiri
yachaqa,studies,s.,estudio,,,
yachaqakipay,training,s.,capacitación,,,yatintawi
yachaqakipay,to train,v.tr.,capacitar,,,yatintayaña
yachaqana wasi,school,s.,escuela,,,
yachaqaq,learning,s.a.,el que aprende; discípulo; escolar; educando; alumno,,,
yachaqasqan,indicator,s.,indicador,,,yatiyiri
yachaqay,learning,s.,aprendizaje,,,yatiqawi
yachaqay,to learn,v.tr.,aprender; estudiar,,,yatiqaña
yachaqay phani,timetable,s.,horario escolar,,,yatiñuta uru t'aqa
yachaqaywasi,lecture-hall,s.,aula,,,yatinuta
yachaqaywasi,course,s.(neo),curso,,,yatiña uta manqha; yatiqa jalja
yachaq rimay,thought (of wise),s.,pensamiento (de sabio/sabia),,,
yachariy,to be accustomed to; to discover,v.tr.(1),acostumbrarse a; discubrir; acostumbrarse en algún lugar; aclimatarse,,,
yachariy,to adapt,v.tr.(2),adaptar,,,
yacharuk'ana,instrument,s.,instrumento,,,uñanchirí yä
yachaspa,knowingly; deliberately,adv.m.,a sabiendas; deliberadamente; sabiendo,,,
yachasqa,accustomed,p.p.p.,habituado; acostumbrado,yachasqa,yachasqa,
yachasqa,famous; known; learned,p.p.p.(2),famoso; sabido; conocido; aprendido; practicado,yachasqa,yachasqa,
yachasqa,custom; norm,s.,costumbre; norma,,,
yachasqa mana yachasqata taripay,exam,s.,examen,,,
yachasqan,experience,s.pr.,experiencia,,,yatiñani; yatita
yachasqata willay,to declare,v.tr.,declarar,,,
yachasqa uyay suwa,publicly known thief,s.,público ladrón cursado o conocido,yachasqa uyay suwa,yachasqa uyay suwa,
yachay,knowledge; wisdom; science; skill; the power of the mind; experience; practical knowledge,s.,saber; sabiduría; conocimiento; ciencia; experiencia; amor con voluntad; estudio; ciencia; educación; habilidad; capacidad; aptitud para algo; pericia,yachay,yachay,yatiña
yachay,subject,s.(ass),tema,,,yatiwakichawi
yachay,to dwell; to live,v.cop.,vivir (habitar); morar; residir; vivir (morar),,,
yachay,to know; to learn; to realize; to find out,v.tr.,saber; aprender; conocer; anoticiarse; enterarse; darse cuenta; enterarse de; saber de vida; estudiar; saber; entender,yachay,yachay,yatiña
yachayatiy,competence (ability),s.,competencia (capacidad de ...),,,yatintata. atipasiwi
yachaykachiy,to advise; to counsel; to counsel,v.tr.,aconsejar,yachaykachiy,yachaykachiy,
yachay kamachiq,education law,s.(neo),ley de educación,,,
yachaykamay,knowledge area; special field; subject; discipline,s.,área del conocimiento; disciplina; área; área de especialidad,,,yatiqawi t'aqa
yachay kancha,special field,s.(neo),área de especialidad,,,
yachaykawsay,culture,s.,cultura,,,
yachaykuna,lesson; contents,s.(1),lección; contenidos,,,
yachaykuna,wisdom; learning,s.(2),sabiduría,,,
yachaykuy,to take a practice,v.tr.,tomar una práctica,,,
yachayllap,slowly; gently,adj.,despacio,,,
yachayllawan ruray,craft (astuteness); astuteness; cunning,s.,habilidad,yachayllawan ruway,yachayllawan ruway,
yachayllawan ruray,to be crafty,v.intr.,ser hábil; ser astuto,yachayllawan ruway,yachayllawan ruway,
yachaymanay,habit,s.,hábito,,,jichu
yachaymiy,to be certain,v.intr.,estar cierto,,,
yachay munaq,student,s.,estudiante,yachay munaq,yachay munaq,
yachayniyuq,experienced,s.(ass),experimentado; instruido; sabio,yachayniyuq,yachayniyoq,
yachayniyuq,wise; expert; with knowledge power,s.p.,sabio; el que posee conocimiento; experto; con fuerza de saber; conocedor; entendido,yachayniyuq,yachayniyoq,
yachayniyuq kay,experience,s.,experiencia,,,yatiñani; yatita
Yachayniyuq Palawra,Word of Wisdom,s.,palabra de sabiduría,,,
yachay ñan,method; methodology,s.(ass),método; metodología; proceso metodológico,,,
yachay pampa,special field,s.(neo),área de especialidad,,,
yachaypaq khillay,didactic material; didactic resources,s.(neo),material didáctico; recurso didáctico,,,
yachaypi takyay,to be convinced,v.intr.,estar convencido; estar confiado,yachaypi takyay,yachaypi takyay,
yachay pukyu,knowledge; wisdom,s.,saber; sabiduría,yachay pukyu,yachay pukyu,
yachayphuku,imitator,s.,remedón; imitador,,,
yachay qillqa,scientific text,s.,texto científico,,,yatxatata qillqa; amawt'a qillqa
yachayruray,exercise; practice,s.(ass),práctica; ejercicio,,,
yachaysapa,science,s.(ass),ciencia,,,
yachaysiq,pedagogical assistant,s.(neo),asistente pedagógico; asesor pedagógico,,,yatintayiri; yanapiri
yachay sunqu,philosopher,s.(neo),filósofo,yachaysunqu,yachaysonqo,
yachay sunqu kay,philosophy,s.(neo),filosofía,yachaysunqukay,yachaysonqokay,
yachay suntur,university,s.(neo),universidad,yachay suntur,yachay suntur,
yachaysuti,title,s.(ass),título,,,
yachayta taripana,mastering of knowledge,s.(fil),dominio del conocimiento,,,
yachayta willana,imparting of knowledge,s.(fil),socialización del conocimiento,,,
yachayta wiñachiy,creation of knowledge,s.(fil),creación del conocimiento,,,
yachaywa,subject,s.(neo),tema,,,
